"Carritos",,,"Panal",,,"1_cp",,,"2_ca",,,"3_pa",,,"hexagonal",,,"Panal",,,"lluvia",,
"Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento"
"seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm"
"0.32","27.17972","0.04373958","0.32","0.4291534","0.04372917","0.32","32.37724","0.04375","0.32","0.6198883","0.04370833","0.32","17.26151","0.04370833","0.32","0.1430511","0.04376042","0.32","0.8106232","0.04371875","0.32","0.2861023","0.04376042"
"0.33","29.18243","0.04538542","0.33","0.4291534","0.045375","0.33","32.99713","0.04540625","0.33","0.7152557","0.04541666","0.33","20.31326","0.04538542","0.33","0.1430511","0.04539583","0.33","0.8106232","0.045375","0.33","0.2861023","0.04542708"
"0.34","30.37453","0.04704167","0.34","0.5722046","0.04704167","0.34","34.14154","0.04704167","0.34","0.7152557","0.04709375","0.34","19.55032","0.04707292","0.34","0.1430511","0.04705208","0.34","0.8106232","0.04707292","0.34","0.2861023","0.04708333"
"0.35","30.37453","0.04871875","0.35","0.5722046","0.04872917","0.35","35.90584","0.04869791","0.35","0.8106232","0.04876042","0.35","18.59665","0.04875","0.35","0.1430511","0.04872917","0.35","0.8583069","0.04877083","0.35","0.2861023","0.04872917"
"0.36","31.70967","0.05041667","0.36","0.5722046","0.05040625","0.36","36.9072","0.050375","0.36","0.8583069","0.05040625","0.36","20.504","0.05040625","0.36","0.2384186","0.05041667","0.36","0.9059906","0.0504375","0.36","0.2861023","0.050375"
"0.37","34.61838","0.05209375","0.37","0.667572","0.05207292","0.37","39.5298","0.05207292","0.37","0.9536743","0.05205208","0.37","22.02988","0.05205208","0.37","0.2384186","0.05208333","0.37","0.9059906","0.05209375","0.37","0.333786","0.0520625"
"0.38","35.85815","0.05376042","0.38","0.667572","0.05371875","0.38","41.34178","0.05375","0.38","1.001358","0.05371875","0.38","23.03123","0.05370833","0.38","0.2384186","0.05375","0.38","0.9059906","0.05372917","0.38","0.4291534","0.05375"
"0.39","39.00528","0.05539583","0.39","0.8106232","0.05536458","0.39","43.6306","0.05541667","0.39","1.049042","0.05539583","0.39","24.46175","0.05538541","0.39","0.2384186","0.05539583","0.39","0.9059906","0.05538541","0.39","0.4291534","0.05541667"
"0.4","39.43443","0.05704167","0.4","0.8106232","0.05703125","0.4","44.39354","0.0570625","0.4","1.144409","0.05708333","0.4","26.55983","0.05708333","0.4","0.2384186","0.05705208","0.4","0.9059906","0.05705208","0.4","0.4291534","0.05708333"
"0.41","40.91263","0.05870833","0.41","0.8583069","0.05872916","0.41","45.9671","0.05870833","0.41","1.28746","0.05875","0.41","25.79689","0.05876042","0.41","0.2384186","0.05871875","0.41","0.9059906","0.05873958","0.41","0.4291534","0.05871875"
"0.42","41.38947","0.06040625","0.42","0.9059906","0.06041666","0.42","48.25592","0.060375","0.42","1.335144","0.06040625","0.42","24.79553","0.06042708","0.42","0.2384186","0.06041666","0.42","1.001358","0.06041666","0.42","0.4291534","0.060375"
"0.43","41.53252","0.06208333","0.43","0.9536743","0.06209375","0.43","49.25728","0.0620625","0.43","1.430511","0.06205208","0.43","26.08299","0.06207292","0.43","0.2384186","0.06210417","0.43","1.001358","0.06207292","0.43","0.4291534","0.06205208"
"0.44","43.43987","0.06375","0.44","1.049042","0.06373958","0.44","50.78316","0.06375","0.44","1.525879","0.06370834","0.44","26.70288","0.06371875","0.44","0.333786","0.06377083","0.44","1.001358","0.06371875","0.44","0.4291534","0.06375"
"0.45","45.63332","0.06539583","0.45","1.096725","0.065375","0.45","52.59514","0.06540625","0.45","14.97269","0.06539583","0.45","27.2274","0.065375","0.45","0.333786","0.06541666","0.45","1.001358","0.06536458","0.45","0.5245209","0.06542708"
"0.46","48.16055","0.06704167","0.46","1.144409","0.06703125","0.46","54.74091","0.0670625","0.46","18.21518","0.06709375","0.46","29.18243","0.0670625","0.46","0.333786","0.06705208","0.46","1.001358","0.06704167","0.46","0.5245209","0.06709375"
"0.47","48.92349","0.06870833","0.47","1.192093","0.06871875","0.47","55.17006","0.06869791","0.47","17.07077","0.06877083","0.47","29.18243","0.06875","0.47","0.333786","0.06870833","0.47","1.049042","0.06873959","0.47","0.5245209","0.06873959"
"0.48","50.0679","0.07040625","0.48","1.239777","0.07039583","0.48","55.59921","0.070375","0.48","19.12117","0.07042708","0.48","30.13611","0.07041667","0.48","0.3814697","0.07039583","0.48","1.144409","0.07042708","0.48","0.5245209","0.07038542"
"0.49","52.49977","0.07209375","0.49","1.382828","0.07207292","0.49","57.74498","0.07205208","0.49","21.3623","0.0720625","0.49","33.71239","0.0720625","0.49","0.4768372","0.07207292","0.49","1.144409","0.07209375","0.49","0.5245209","0.07205208"
"0.5","55.6469","0.07376041","0.5","1.382828","0.07372916","0.5","61.51199","0.07375","0.5","23.17429","0.07370833","0.5","34.99985","0.07370833","0.5","0.4768372","0.07373958","0.5","1.144409","0.07373958","0.5","0.5245209","0.07373958"
"0.51","57.26814","0.07540625","0.51","1.478195","0.075375","0.51","63.03787","0.07541667","0.51","21.69609","0.07538541","0.51","35.33363","0.075375","0.51","0.4768372","0.07539583","0.51","1.144409","0.07538541","0.51","0.5245209","0.07541667"
"0.52","58.41255","0.07705208","0.52","1.573563","0.07702083","0.52","64.37302","0.07708333","0.52","24.55711","0.07707292","0.52","36.28731","0.0770625","0.52","0.4768372","0.07704166","0.52","1.239777","0.07704166","0.52","0.5245209","0.07708333"
"0.53","59.03244","0.07870834","0.53","1.621246","0.07869791","0.53","65.18364","0.07871875","0.53","27.03667","0.07875","0.53","35.28595","0.07875","0.53","0.4768372","0.07870834","0.53","1.239777","0.07872917","0.53","0.6198883","0.07872917"
"0.54","62.32262","0.08039583","0.54","1.716614","0.08040625","0.54","67.37709","0.080375","0.54","27.17972","0.08040625","0.54","34.37996","0.08042708","0.54","0.4768372","0.08039583","0.54","1.239777","0.08041666","0.54","0.6198883","0.080375"
"0.55","62.51335","0.08208333","0.55","1.764297","0.08208333","0.55","67.75856","0.08205208","0.55","26.32141","0.08205208","0.55","34.52301","0.08208333","0.55","0.5245209","0.08208333","0.55","1.239777","0.08208333","0.55","0.6198883","0.08204167"
"0.56","61.36894","0.08375","0.56","1.859665","0.08375","0.56","67.09099","0.08373958","0.56","26.98898","0.08370833","0.56","39.14833","0.08372916","0.56","0.5722046","0.08376042","0.56","1.28746","0.08373958","0.56","0.6198883","0.08373958"
"0.57","61.98883","0.08540625","0.57","1.955032","0.08539584","0.57","72.19315","0.08541667","0.57","28.89633","0.08538542","0.57","40.62653","0.085375","0.57","0.5722046","0.08542708","0.57","1.382828","0.085375","0.57","0.7629395","0.08542708"
"0.58","64.08691","0.08705208","0.58","2.0504","0.08704167","0.58","73.52829","0.08707292","0.58","30.32684","0.08707292","0.58","41.19873","0.08705208","0.58","0.5722046","0.0870625","0.58","1.382828","0.08704167","0.58","0.7629395","0.08710416"
"0.59","67.13867","0.08870833","0.59","2.098083","0.08870833","0.59","73.62366","0.08871875","0.59","31.42357","0.08876041","0.59","43.53523","0.08873958","0.59","0.667572","0.08870833","0.59","1.382828","0.08872917","0.59","0.7629395","0.08875"
"0.6","67.71088","0.09039583","0.6","13.35144","0.09039583","0.6","75.91248","0.090375","0.6","31.23283","0.09042709","0.6","42.10472","0.09041666","0.6","0.7152557","0.09038541","0.6","1.382828","0.09041666","0.6","0.7629395","0.09039583"
"0.61","68.90297","0.09208333","0.61","19.45496","0.09207292","0.61","77.62909","0.09205208","0.61","32.23419","0.09207292","0.61","40.43579","0.09207292","0.61","0.7152557","0.09207292","0.61","1.430511","0.09209375","0.61","0.7629395","0.09204166"
"0.62","70.33348","0.09376042","0.62","20.26558","0.09373958","0.62","78.53508","0.09375","0.62","30.85136","0.09371875","0.62","42.00935","0.09371875","0.62","0.7152557","0.09375","0.62","1.478195","0.09376042","0.62","0.8583069","0.09371875"
"0.63","72.38388","0.09542708","0.63","18.78738","0.09539583","0.63","84.30481","0.09542708","0.63","34.23691","0.095375","0.63","41.67557","0.095375","0.63","0.7152557","0.09540625","0.63","1.478195","0.09539583","0.63","0.8583069","0.09540625"
"0.64","73.48061","0.0970625","0.64","17.59529","0.09704167","0.64","84.16176","0.09709375","0.64","35.85815","0.0970625","0.64","41.43715","0.09705208","0.64","0.8106232","0.09705208","0.64","1.478195","0.09704167","0.64","0.8583069","0.09708333"
"0.65","72.6223","0.09870833","0.65","19.26422","0.09870833","0.65","84.59091","0.09872916","0.65","36.43036","0.09875","0.65","44.05975","0.09875","0.65","0.8106232","0.09870833","0.65","1.525879","0.09871875","0.65","0.9059906","0.09873958"
"0.66","76.38931","0.1003854","0.66","22.31598","0.1003958","0.66","84.9247","0.100375","0.66","36.76414","0.1004167","0.66","45.34721","0.1004271","0.66","0.8106232","0.100375","0.66","1.573563","0.1004063","0.66","1.001358","0.100375"
